StartIndex	EndIndex	GO:ID	Term	OntologyTerm
2	11	GO:0023052	Signaling	signaling
64	77	GO:0032502	Morphogenesis	developmental process
110	124	GO:0032502	organogenesis	developmental process
133	138	GO:0005623	cells	cell
264	277	GO:0032502	morphogenesis	developmental process
352	354	GO:0065007	to	biological regulation
352	354	GO:0009987	to	cellular process
393	406	GO:0005576	extracellular	extracellular region
465	467	GO:0065007	to	biological regulation
465	467	GO:0009987	to	cellular process
489	494	GO:0005623	cells	cell
532	538	GO:0040007	growth	growth
549	558	GO:0023052	signaling	signaling
572	574	GO:0065007	to	biological regulation
572	574	GO:0009987	to	cellular process
598	611	GO:0009987	transcription	cellular process
598	611	GO:0008152	transcription	metabolic process
664	671	GO:0003824	protein	catalytic activity
750	752	GO:0065007	to	biological regulation
750	752	GO:0009987	to	cellular process
888	896	GO:0003824	proteins	catalytic activity
920	929	GO:0023052	signaling	signaling
1005	1007	GO:0065007	to	biological regulation
1005	1007	GO:0009987	to	cellular process
1081	1086	GO:0005623	cells	cell
1117	1119	GO:0065007	to	biological regulation
1117	1119	GO:0009987	to	cellular process
1213	1223	GO:0008152	formation	metabolic process
1235	1244	GO:0023052	signaling	signaling
1235	1252	GO:0023052	signaling pathway	signaling
1367	1376	GO:0008152	formation	metabolic process
1455	1468	GO:0032502	morphogenesis	developmental process
1552	1558	GO:0005623	cells	cell
1601	1610	GO:0008152	formation	metabolic process
1734	1739	GO:0005623	cells	cell
1763	1765	GO:0065007	to	biological regulation
1763	1765	GO:0009987	to	cellular process
1780	1792	GO:0044421	basal lamina	extraccellular region part
1883	1896	GO:0032502	morphogenesis	developmental process
1977	1979	GO:0065007	to	biological regulation
1977	1979	GO:0009987	to	cellular process
2033	2035	GO:0065007	to	biological regulation
2033	2035	GO:0009987	to	cellular process
2047	2054	GO:0040007	growth	growth
2137	2145	GO:0003824	proteins	catalytic activity
2167	2173	GO:0040007	growth	growth
2209	2215	GO:0040007	growth	growth
2254	2258	GO:0005623	cell	cell
2254	2266	GO:0044464	cell surface	cell part
2307	2316	GO:0023052	signaling	signaling
2356	2369	GO:0044464	intracellular	cell part
2356	2369	GO:0051179	intracellular	localization
2356	2369	GO:0009987	intracellular	cellular process
2406	2422	GO:0008152	gene expression	metabolic process
2423	2430	GO:0040007	growth	growth
2598	2600	GO:0065007	to	biological regulation
2598	2600	GO:0009987	to	cellular process
2658	2660	GO:0065007	to	biological regulation
2658	2660	GO:0009987	to	cellular process
2703	2713	GO:0008152	formation	metabolic process
2788	2792	GO:0065007	to	biological regulation
2788	2792	GO:0009987	to	cellular process
2829	2833	GO:0005623	cell	cell
2929	2937	GO:0050896	behavior	response to stimulus
2954	2959	GO:0005623	cells	cell
2954	2959	GO:0005623	cells	cell
3158	3171	GO:0044421	basal lamina	extraccellular region part
3178	3191	GO:0005576	extracellular	extracellular region
3258	3260	GO:0065007	to	biological regulation
3258	3260	GO:0009987	to	cellular process
3298	3302	GO:0005623	cell	cell
3394	3399	GO:0005623	cell	cell
3482	3484	GO:0065007	to	biological regulation
3482	3484	GO:0009987	to	cellular process
3506	3516	GO:0008152	formation	metabolic process
3594	3600	GO:0005623	cells	cell
3645	3650	GO:0005623	cells	cell
3700	3702	GO:0065007	to	biological regulation
3700	3702	GO:0009987	to	cellular process
3834	3840	GO:0005623	cells	cell
3898	3903	GO:0005623	cells	cell
3904	3906	GO:0065007	to	biological regulation
3904	3906	GO:0009987	to	cellular process
4095	4101	GO:0040007	growth	growth
4120	4122	GO:0065007	to	biological regulation
4120	4122	GO:0009987	to	cellular process
4470	4483	GO:0009987	transcription	cellular process
4470	4483	GO:0008152	transcription	metabolic process
4588	4597	GO:0023052	signaling	signaling
4588	4606	GO:0023052	signaling pathways	signaling
4752	4770	GO:0044464	adherens junctions	cell part
4868	4895	GO:0032502	hair follicle morphogenesis	developmental process
4868	4895	GO:0032501	hair follicle morphogenesis	multicellular organismal process
4882	4895	GO:0032502	morphogenesis	developmental process
5028	5041	GO:0032502	morphogenesis	developmental process
5081	5083	GO:0065007	to	biological regulation
5081	5083	GO:0009987	to	cellular process
5226	5246	GO:0016043	actin polymerization	cellular component organization
