StartIndex	EndIndex	GO:ID	Term	OntologyTerm
42	51	GO:0009987	embryonic	cellular process
42	51	GO:0065007	embryonic	biological regulation
42	63	GO:0032502	embryonic development	developmental process
170	178	GO:0005623	cell	cell
170	189	GO:0009987	cell cycle	cellular process
190	194	GO:0005623	cell	cell
190	200	GO:0016265	cell death	death
190	200	GO:0009987	cell death	cellular process
246	200	GO:0016265	death	death
527	536	GO:0009987	embryonic	cellular process
527	536	GO:0065007	embryonic	biological regulation
633	647	GO:0032502	embryogenesis	developmental process
832	837	GO:0016265	death	death
866	868	GO:0065007	To	biological regulation
866	868	GO:0009987	To	cellular process
988	997	GO:0009987	embryonic	cellular process
988	997	GO:0065007	embryonic	biological regulation
1004	1009	GO:0005623	cells	cell
1113	1115	GO:0065007	to	biological regulation
1113	1115	GO:0009987	to	cellular process
1170	1178	GO:0032502	embryos	developmental process
1267	1274	GO:0032502	embryos	developmental process
1434	1443	GO:0009987	embryonic	cellular process
1434	1443	GO:0065007	embryonic	biological regulation
1640	1647	GO:0032502	embryo	developmental process
2200	2207	GO:0003824	protein	catalytic activity
2675	2677	GO:0065007	to	biological regulation
2675	2677	GO:0009987	to	cellular process
2678	2685	GO:0005215	calcium	transporter activity
2774	2783	GO:0065007	to	biological regulation
2774	2783	GO:0009987	to	cellular process
3193	3200	GO:0040007	growth	growth
3241	3247	GO:0040007	growth	growth
3275	3279	GO:0005623	cell	cell
3275	3285	GO:0009987	cell cycle	cellular process
3348	3354	GO:0040007	growth	growth
3368	3376	GO:0044464	membrane	cell part
3411	3423	GO:0043226	cytoskeleton	organelle
3411	3423	GO:0044464	cytoskeleton	cell part
3428	3432	GO:0005623	cell	cell
3428	3442	GO:0009987	cell migration	cellular process
3428	3442	GO:0040011	cell migration	locomotion
3455	3479	GO:0065007	regulation of cell death	biological regulation
3469	3479	GO:0005623	cell	cell
3469	3479	GO:0016265	cell death	death
3469	3479	GO:0009987	cell death	cellular process
3474	3479	GO:0016265	death	death
3502	3511	GO:0016265	apoptosis	death
3502	3511	GO:0009987	apoptosis	cellular process
3521	3523	GO:0065007	To	biological regulation
3521	3523	GO:0009987	To	cellular process
3637	3641	GO:0005623	cell	cell
3637	3647	GO:0016265	cell death	death
3637	3647	GO:0009987	cell death	cellular process
3642	3647	GO:0016265	death	death
3722	3726	GO:0065007	to	biological regulation
3722	3726	GO:0009987	to	cellular process
3892	3899	GO:0003824	protein	catalytic activity
4133	4139	GO:0040007	growth	growth
4161	4165	GO:0005623	cell	cell
