StartIndex	EndIndex	GO:ID	Term	OntologyTerm
94	96	GO:0065007	to	biological regulation
94	96	GO:0009987	to	cellular process
156	167	GO:0050896	DNA repair	response to stimulus
156	167	GO:0009987	DNA repair	cellular process
156	167	GO:0008152	DNA repair	metabolic process
357	359	GO:0065007	to	biological regulation
357	359	GO:0009987	to	cellular process
425	427	GO:0065007	to	biological regulation
425	427	GO:0009987	to	cellular process
428	451	GO:0009987	recombinational repair	cellular process
428	451	GO:0008152	recombinational repair	metabolic process
428	451	GO:0050896	recombinational repair	response to stimulus
466	468	GO:0065007	to	biological regulation
466	468	GO:0009987	to	cellular process
706	708	GO:0065007	to	biological regulation
706	708	GO:0009987	to	cellular process
879	881	GO:0065007	to	biological regulation
879	881	GO:0009987	to	cellular process
1000	1005	GO:0005623	Cells	cell
1024	1031	GO:0003824	protein	catalytic activity
1054	1060	GO:0005623	cells	cell
1164	1171	GO:0003824	protein	catalytic activity
1215	1217	GO:0065007	to	biological regulation
1215	1217	GO:0009987	to	cellular process
1317	1324	GO:0003824	protein	catalytic activity
1424	1434	GO:0050896	DNA repair	response to stimulus
1424	1434	GO:0009987	DNA repair	cellular process
1424	1434	GO:0008152	DNA repair	metabolic process
1667	1689	GO:0009987	recombinational repair	cellular process
1667	1689	GO:0008152	recombinational repair	metabolic process
1667	1689	GO:0050896	recombinational repair	response to stimulus
1759	1766	GO:0009987	S phase	cellular process
1786	1788	GO:0065007	to	biological regulation
1786	1788	GO:0009987	to	cellular process
1910	1914	GO:0005623	Cell	cell
1970	1972	GO:0065007	to	biological regulation
1970	1972	GO:0009987	to	cellular process
2041	2045	GO:0005623	cell	cell
2065	2087	GO:0009987	recombinational repair	cellular process
2065	2087	GO:0008152	recombinational repair	metabolic process
2065	2087	GO:0050896	recombinational repair	response to stimulus
2155	2161	GO:0009987	direct	cellular process
2155	2161	GO:0008152	direct	metabolic process
2155	2161	GO:0009987	direct	cellular process
2155	2161	GO:0008152	direct	metabolic process
2408	2413	GO:0005623	Cells	cell
2435	2437	GO:0065007	to	biological regulation
2435	2437	GO:0009987	to	cellular process
2526	2534	GO:0003824	proteins	catalytic activity
2556	2565	GO:0008152	formation	metabolic process
