StartIndex	EndIndex	GO:ID	Term	OntologyTerm
22	35	GO:0003824	Dehydrogenase	catalytic activity
99	112	GO:0003824	dehydrogenase	catalytic activity
172	185	GO:0044422	mitochondrial	organelle part
172	185	GO:0032991	mitochondrial	macromolecular complex
172	185	GO:0044464	mitochondrial	cell part
220	222	GO:0065007	To	biological regulation
220	222	GO:0009987	To	cellular process
245	257	GO:0051704	pathogenesis	multi-organism process
353	362	GO:0009987	embryonic	cellular process
353	362	GO:0065007	embryonic	biological regulation
373	378	GO:0005623	cells	cell
471	473	GO:0065007	to	biological regulation
471	473	GO:0009987	to	cellular process
905	925	GO:0009987	fatty acid oxidation	cellular process
905	925	GO:0008152	fatty acid oxidation	metabolic process
930	942	GO:0051704	pathogenesis	multi-organism process
971	991	GO:0009987	fatty acid oxidation	cellular process
971	991	GO:0008152	fatty acid oxidation	metabolic process
1022	1035	GO:0003824	dehydrogenase	catalytic activity
1103	1113	GO:0008152	metabolism	metabolic process
1130	1150	GO:0009987	fatty acid oxidation	cellular process
1130	1150	GO:0008152	fatty acid oxidation	metabolic process
1160	1162	GO:0065007	to	biological regulation
1160	1162	GO:0009987	to	cellular process
1252	1254	GO:0065007	to	biological regulation
1252	1254	GO:0009987	to	cellular process
1432	1437	GO:0016265	death	death
1488	1497	GO:0009987	embryonic	cellular process
1488	1497	GO:0065007	embryonic	biological regulation
1503	1508	GO:0005623	cells	cell
1766	1768	GO:0065007	to	biological regulation
1766	1768	GO:0009987	to	cellular process
1776	1778	GO:0065007	to	biological regulation
1776	1778	GO:0009987	to	cellular process
1883	1885	GO:0065007	to	biological regulation
1883	1885	GO:0009987	to	cellular process
2100	2113	GO:0044464	Mitochondrial	cell part
2100	2113	GO:0032991	Mitochondrial	macromolecular complex
2100	2113	GO:0044422	Mitochondrial	organelle part
2196	2216	GO:0008152	Fatty acid oxidation	metabolic process
2196	2216	GO:0009987	Fatty acid oxidation	cellular process
2227	2239	GO:0044464	mitochondria	cell part
2227	2239	GO:0043226	mitochondria	organelle
2341	2355	GO:0003824	dehydrogenases	catalytic activity
2408	2421	GO:0003824	dehydrogenase	catalytic activity
2467	2474	GO:0003824	protein	catalytic activity
2636	2643	GO:0043226	nucleus	organelle
2636	2643	GO:0044464	nucleus	cell part
2663	2670	GO:0044464	cytosol	cell part
2698	2711	GO:0044422	mitochondrial	organelle part
