StartIndex	EndIndex	GO:ID	Term	OntologyTerm
177	179	GO:0065007	to	biological regulation
177	179	GO:0009987	to	cellular process
206	208	GO:0065007	to	biological regulation
206	208	GO:0009987	to	cellular process
729	739	GO:0043226	chromosome	organelle
729	739	GO:0044422	chromosome	organelle part
729	739	GO:0044464	chromosome	cell part
873	875	GO:0065007	to	biological regulation
873	875	GO:0009987	to	cellular process
994	1001	GO:0003824	protein	catalytic activity
1073	1075	GO:0065007	to	biological regulation
1073	1075	GO:0009987	to	cellular process
1132	1136	GO:0032991	pore	macromolecular complex
1246	1253	GO:0003824	protein	catalytic activity
1267	1269	GO:0065007	to	biological regulation
1267	1269	GO:0009987	to	cellular process
1276	1283	GO:0043226	vesicle	organelle
1276	1293	GO:0044422	vesicle membranes	organelle part
1276	1293	GO:0044464	vesicle membranes	cell part
1284	1293	GO:0044464	membranes	cell part
1295	1297	GO:0065007	To	biological regulation
1295	1297	GO:0009987	To	cellular process
1418	1420	GO:0065007	to	biological regulation
1418	1420	GO:0009987	to	cellular process
2053	2062	GO:0032501	excretion	multicellular organismal process
2053	2062	GO:0051234	excretion	establishment of localization
2172	2180	GO:0043226	vacuoles	organelle
2172	2180	GO:0044464	vacuoles	cell part
2267	2269	GO:0065007	to	biological regulation
2267	2269	GO:0009987	to	cellular process
2567	2569	GO:0065007	to	biological regulation
2567	2569	GO:0009987	to	cellular process
2570	2580	GO:0043226	chromosome	organelle
2570	2580	GO:0044422	chromosome	organelle part
2570	2580	GO:0044464	chromosome	cell part
2614	2621	GO:0003824	protein	catalytic activity
2721	2728	GO:0003824	Protein	catalytic activity
2833	2835	GO:0065007	to	biological regulation
2833	2835	GO:0009987	to	cellular process
2910	2920	GO:0003824	hydrolases	catalytic activity
3093	3104	GO:0016043	endocytosis	cellular component organization
3093	3104	GO:0009987	endocytosis	cellular process
3093	3104	GO:0051234	endocytosis	establishment of localization
3128	3136	GO:0043226	vacuoles	organelle
3128	3136	GO:0044464	vacuoles	cell part
3174	3181	GO:0003824	protein	catalytic activity
3174	3191	GO:0008152	protein breakdown	metabolic process
3182	3191	GO:0008152	breakdown	metabolic process
3374	3376	GO:0065007	to	biological regulation
3374	3376	GO:0009987	to	cellular process
3491	3493	GO:0065007	to	biological regulation
3491	3493	GO:0009987	to	cellular process
3574	3576	GO:0065007	to	biological regulation
3574	3576	GO:0009987	to	cellular process
3806	3808	GO:0065007	to	biological regulation
3806	3808	GO:0009987	to	cellular process
3882	3892	GO:0043226	chromosome	organelle
3882	3892	GO:0044422	chromosome	organelle part
3882	3892	GO:0044464	chromosome	cell part
3910	3912	GO:0065007	to	biological regulation
3910	3912	GO:0009987	to	cellular process
4004	4006	GO:0065007	to	biological regulation
4004	4006	GO:0009987	to	cellular process
4238	4248	GO:0043226	chromosome	organelle
4238	4248	GO:0044422	chromosome	organelle part
4238	4248	GO:0044464	chromosome	cell part
4261	4263	GO:0065007	to	biological regulation
4261	4263	GO:0009987	to	cellular process
4270	4280	GO:0043226	chromosome	organelle
4270	4280	GO:0044422	chromosome	organelle part
4270	4280	GO:0044464	chromosome	cell part
4808	4810	GO:0065007	to	biological regulation
4808	4810	GO:0009987	to	cellular process
4975	4977	GO:0065007	to	biological regulation
4975	4977	GO:0009987	to	cellular process
5234	5244	GO:0043226	chromosome	organelle
5234	5244	GO:0044422	chromosome	organelle part
5234	5244	GO:0044464	chromosome	cell part
5650	5652	GO:0065007	to	biological regulation
5650	5652	GO:0009987	to	cellular process
5828	5838	GO:0043226	chromosome	organelle
5828	5838	GO:0044422	chromosome	organelle part
5828	5838	GO:0044464	chromosome	cell part
5852	5862	GO:0043226	chromosome	organelle
5852	5862	GO:0044422	chromosome	organelle part
5852	5862	GO:0044464	chromosome	cell part
